nom,prenom,occupation,age,taille,poids,options,genre,label
SCHNEBLI,Hermine,Travail:temps plein,26,1.77,49,1,La France,0
DE WISIGOTHIE,Blandine,Etudiante,26,1.81,73,3,Asie,0
D ANGOULEME,Stephanie,Etudiante,24,1.74,46,4,La France,1
DE PROVENCE,Maria,Travail:temps plein,22,1.63,65,3,Asie,0
DE COURTENAY,Ysaline,Travail:temps plein,24,1.66,48,1,Europe (autre que la France),0
BUJOLD,Luce,Etudiante,26,1.66,66,3,La France,1
DE TOULOUSE,Armelle,Etudiante,25,1.88,71,2,Afrique,0
MALTAIS,Brune,Travail:temps partiel,27,1.67,74,4,La France,0
DE SAXE,Alice,Etudiante,25,1.85,54,1,Amerique,0
DE WISIGOTHIE,Juliette,Travail:temps partiel,26,1.63,58,4,Asie,1
DE DANEMARK,Artemis,Travail:temps plein,25,1.74,46,4,Asie,0
DE LUXEMBOURG,Stephanie,Etudiante,25,1.72,48,1,La France,0
D AUTRICHE,Anna,Travail:temps plein,22,1.82,73,3,Asie,0
BOULIANNE,Marylou,Travail:temps partiel,25,1.83,54,2,La France,0
D AUSTRASIE,Hermine,Etudiante,23,1.57,66,3,Amerique,0
SANDOZ GENDRE,Adelie,Travail:temps plein,22,1.57,73,1,Amerique,0
DE HALLUIN,Jade,Etudiante,23,1.84,57,2,Amerique,0
MALTAIS,Blanche,Travail:temps partiel,26,1.5,59,3,Afrique,0
SANDOZ GENDRE,Audrey,Travail:temps plein,23,1.98,60,1,Afrique,0
DE HAINAUT,Bertille,Etudiante,25,1.82,61,4,Amerique,1
D eGYPTE,Thais,Travail:temps partiel,22,1.59,72,3,Asie,0
GOBEIL,Philippine,Travail:temps partiel,24,1.77,62,2,Amerique,0
DE TOXANDRIE,Ambre,Etudiante,27,1.68,71,4,Asie,0
LACHARITe,Victoire,Travail:temps plein,22,1.52,51,4,Amerique,0
SANDOZ GENDRE,Marceline,Travail:temps partiel,26,1.92,75,1,Asie,0
DE FRANCIE,Theodora,Travail:temps plein,23,1.97,67,4,Afrique,0
DE BURGONDIE,Jade,Etudiante,24,1.61,72,1,Amerique,0
DE COLOGNE,Elisabeth,Travail:temps plein,23,1.65,48,2,Afrique,0
GOBEIL,Albane,Etudiante,23,1.84,47,4,Asie,1
D AQUITAINE,Sixtine,Etudiante,23,1.87,45,1,La France,0
DE PROVENCE,Aimee,Travail:temps partiel,25,1.89,73,2,Europe (autre que la France),0
DE TOULOUSE,Armance,Travail:temps partiel,26,1.97,72,1,La France,0
DE COURTENAY,Marion,Travail:temps plein,27,1.65,62,1,Europe (autre que la France),0
SNAVELY,Emma,Travail:temps plein,26,1.5,72,4,La France,0
DE GASCOGNE,Ludivine,Travail:temps partiel,26,1.51,62,3,Afrique,0
GAUDREAULT,Ambrine,Travail:temps partiel,22,1.89,71,3,Europe (autre que la France),0
DE SAVOIE,Lucile,Etudiante,23,1.96,72,1,Amerique,0
DE PROVENCE,Louise,Etudiante,22,1.86,53,1,Amerique,0
DE LUXEMBOURG,Adelaide,Etudiante,26,1.61,69,3,Amerique,1
DE DANEMARK,Apolline,Travail:temps partiel,23,1.98,60,3,La France,0
CAROLINGIEN,Zelie,Travail:temps partiel,27,1.96,58,4,Afrique,0
BUJOLD,Lea,Travail:temps plein,24,1.81,48,4,Afrique,0
D ANGOULEME,Seraphine,Travail:temps plein,23,1.57,53,3,Europe (autre que la France),0
DE COURTENAY,Rosalie,Travail:temps plein,22,1.91,52,1,Asie,0
SNIVELY,Aubane,Travail:temps plein,26,1.72,67,4,Asie,0
DE WISIGOTHIE,Abigail,Travail:temps plein,23,1.87,70,3,La France,0
DE SAXE,Marylou,Travail:temps partiel,24,1.66,61,3,Asie,1
GAUDREAULT,Zelie,Travail:temps plein,27,1.74,48,2,Asie,0
GAUDREAULT,Clemence,Travail:temps partiel,27,1.65,72,3,Europe (autre que la France),0
DE GASCOGNE,Clara,Etudiante,26,1.72,47,4,Europe (autre que la France),1
DE SAVOIE,Sixtine,Travail:temps plein,24,1.85,62,1,Europe (autre que la France),0
D AUSTRASIE,Hermine,Travail:temps plein,23,1.93,55,4,Amerique,0
